DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Science,HS Living Environment,60,3,20
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Science,HS Other Science,19,1,19
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Social Studies,HS Economics,30,1,30
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Social Studies,HS Global History,139,6,23.2
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Social Studies,HS US History,43,2,21.5
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,English,HS English 09,52,2,26
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,English,HS English 10,50,2,25
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,English,HS English 11,22,1,22
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,English,HS English Other,17,1,17
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,Math,HS Algebra I,58,2,29
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,Math,HS Algebra II,27,1,27
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,Math,HS Geometry,44,2,22
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,Science,HS Earth Science,30,1,30
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,Science,HS Living Environment,54,2,27
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,Science,HS Other Science,30,1,30
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,Social Studies,HS Economics,30,1,30
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,Social Studies,HS Global History,88,3,29.3
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,ICT,Social Studies,HS US History,28,1,28
01M450,EAST SIDE COMMUNITY SCHOOL,HS Core,Gen Ed,English,HS English 10,48,2,24
01M450,EAST SIDE COMMUNITY SCHOOL,HS Core,Gen Ed,English,HS English Other,68,3,22.7
01M450,EAST SIDE COMMUNITY SCHOOL,HS Core,Gen Ed,Math,HS Algebra I,24,1,24
01M450,EAST SIDE COMMUNITY SCHOOL,HS Core,Gen Ed,Math,HS Geometry,26,1,26
01M450,EAST SIDE COMMUNITY SCHOOL,HS Core,Gen Ed,Math,HS Math Other,68,3,22.7
01M450,EAST SIDE COMMUNITY SCHOOL,HS Core,Gen Ed,Science,HS Chemistry,50,2,25
01M450,EAST SIDE COMMUNITY SCHOOL,HS Core,Gen Ed,Science,HS Living Environment,47,2,23.5
01M450,EAST SIDE COMMUNITY SCHOOL,HS Core,Gen Ed,Science,HS Other Life Science,49,2,24.5
01M450,EAST SIDE COMMUNITY SCHOOL,HS Core,Gen Ed,Science,HS Physics,44,3,14.7
