DBN,School Name,Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 1 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 2 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 3 or 4 in 8th Grade),Metric Value - Average score of students in the current cohort who took the ACT English exam,Metric Value - Average score of students in the current cohort who took the ACT Math exam,Metric Value - Average score of students in the current cohort who took the ACT Reading exam,Metric Value - Average score of students in the current cohort who took the ACT Science exam,Metric Value - Average score of students in the current cohort who took the SAT Math exam,Metric Value - Average score of students in the current cohort who took the SAT Reading and Writing exam
29Q283,Preparatory Academy for Writers: A College Board S,69.80%,92.20%,100.00%,,,,,478.9,480.2
29Q313,Benjamin Franklin High School for Finance & Inform,50.00%,95.50%,,,,,,439.8,450.7
29Q326,Cambria Heights Academy,75.40%,93.70%,,,,,,417.4,449.7
29Q327,Eagle Academy for Young Men III,87.80%,97.70%,,,,,,447.2,468.7
29Q492,"Mathematics, Science Research and Technology Magne",56.90%,76.30%,85.00%,,,,,457.5,475.7
29Q498,Humanities & Arts Magnet High School,64.00%,82.90%,100.00%,,,,,422,444.3
30Q258,Energy Tech High School,67.60%,96.20%,97.20%,,,,,506,505
30Q286,"Young Women's Leadership School, Astoria",90.50%,98.10%,100.00%,,,,,536.7,552.6
30Q301,Academy for Careers in Television and Film,98.00%,99.10%,98.80%,,,,,516.6,524.9
30Q445,William Cullen Bryant High School,50.00%,81.20%,92.60%,19.8,19.9,20.5,21.2,481.2,475
30Q450,Long Island City High School,55.00%,76.10%,89.70%,,,,,460.6,467.4
30Q501,Frank Sinatra School of the Arts High School,61.90%,92.90%,97.40%,24.1,22.3,24.9,22.8,549.2,575.6
30Q502,Information Technology High School,56.60%,87.60%,92.40%,,,,,480.7,473.8
30Q555,Newcomers High School,69.40%,,,,,,,478.4,429.9
30Q575,Academy of American Studies,75.50%,92.80%,98.40%,23.3,22.2,24,21.1,556.4,565.2
30Q580,Baccalaureate School for Global Education,,,98.70%,31.7,29.7,30.4,28.1,696.9,670.4
31R028,The Eagle Academy for Young Men of Staten Island,,,,,,,,,
31R047,CSI High School for International Studies,94.10%,100.00%,100.00%,25.3,23.7,25.7,22.7,560.7,568.5
31R064,Gaynor McCown Expeditionary Learning School,83.30%,90.30%,95.30%,22,19.7,21.8,21.1,501.8,520.2
31R080,The Michael J. Petrides School,80.00%,91.80%,99.10%,,,,,508.2,508.6
31R440,New Dorp High School,61.50%,87.00%,96.80%,21.3,21.5,22.9,21.2,503.9,508.6
31R445,Port Richmond High School,52.50%,79.50%,90.50%,20.2,21.1,21.7,20.9,468.2,471.9
31R450,Curtis High School,51.30%,85.00%,95.70%,19.3,19.6,20.1,19.8,482,495.4
31R455,Tottenville High School,66.30%,89.00%,97.90%,23.6,22.8,23.3,22.7,544.1,542.5
31R460,Susan E. Wagner High School,61.90%,92.40%,97.60%,25,23.8,24.7,22,516.4,527.5
31R600,Ralph R. McKee Career and Technical Education High,57.40%,80.40%,92.80%,,,,,465.5,454
31R605,Staten Island Technical High School,,,99.80%,31.8,31.3,31.9,29.4,738.6,699.6
32K168,The Brooklyn School for Math and Research,76.00%,92.90%,100.00%,,,,,527.2,492.4
32K403,Academy for Environmental Leadership,68.90%,88.90%,,,,,,409.9,418.9
32K545,EBC High School for Public Service - Bushwick,73.40%,96.20%,100.00%,,,,,418.2,432.9
32K549,The Brooklyn School for Social Justice,65.50%,82.00%,,,,,,407.3,411.5
32K552,The Academy of Urban Planning and Engineering,78.60%,100.00%,,,,,,434.8,423.5
32K554,All City Leadership Secondary School,,100.00%,100.00%,23.4,24.4,23.4,23.1,596.6,571.8
32K556,Bushwick Leaders High School for Academic Excellen,63.40%,93.10%,,,,,,414,412.7
84K356,Achievement First Crown Heights Charter School,,63.60%,100.00%,,,,,,
84K357,KIPP AMP Charter School,,94.10%,88.90%,,,,,,
84K358,Achievement First East New York Charter School,,,86.10%,,,,,,
84K359,The Uft Charter School,78.60%,95.10%,90.50%,,,,,,
84K473,Williamsburg Charter High School,72.70%,86.10%,94.30%,,,,,446.4,454.8
84K508,Achievement First Endeavor Charter School,,89.70%,88.40%,,,,,,
84K517,Leadership Prep Bedford Stuyvesant Uncommon Prep C,,85.70%,91.50%,,,,,,
84K538,Achievement First Bushwick Charter School,,80.00%,88.20%,,,,,,
84K608,Kings Collegiate Charter School,,,,,,,,,
84K626,Achievement First Brownsville Charter School,,,,,,,,,
84K652,Brooklyn Ascend Charter School,,,,,,,,,
84K693,Northside Charter High School,75.50%,91.20%,100.00%,,,,,435.2,453
84K707,Brooklyn Prospect Charter School,77.40%,86.40%,96.50%,,,,,528.8,534.6
84K712,Excellence Girls Charter School,,85.50%,95.80%,,,,,,
84K730,Summit Academy Charter School,60.90%,84.00%,94.10%,,,,,463.1,466.3
84K733,"Math, Engineering, and Science Academy Charter Hig",83.80%,97.40%,100.00%,,,,,484.7,477.2
84K738,New Visions Charter High School for Advanced Math,89.70%,91.80%,100.00%,,,,,491.5,495.9
84K739,New Visions Charter High School for the Humanities,70.10%,92.20%,93.90%,,,,,419.8,451.1
84K744,Coney Island Preparatory Public Charter School,61.90%,87.00%,96.60%,,,,,538.6,526.9
84K757,Unity Prep Charter School,,,,,,,,,
84K775,Leadership Preparatory Ocean Hill Charter School,,,100.00%,,,,,,
84K803,Brooklyn LABÊCharter School,,,,,,,,,
84K892,Brooklyn Emerging Leaders Academy,,,,,,,,,
84M065,Democracy Prep Endurance Charter School,,,,,,,,,
84M068,KIPP Washington Heights Middle School,,,,,,,,,
84M279,The Opportunity Charter School,91.50%,95.20%,,,,,,392.2,403.3
84M284,Harlem Children's Zone Promise Academy 1 Charter S,91.30%,98.20%,100.00%,15.2,17.8,16.7,16.7,492.6,485.2
84M335,Harlem Village Academy Leadership Charter School,,100.00%,97.10%,,,,,,
84M336,KIPP Infinity Charter School,80.00%,96.00%,93.30%,,,,,,
84M341,Harlem Children's Zone Promise Academy II Charter,,95.20%,100.00%,,,,,521.2,516
84M350,Democracy Prep Charter School,,68.20%,82.70%,21.2,22.7,20.5,21,573.6,564.5
84M351,Success Academy Charter School - Harlem 1,,,93.80%,,,,,,
84M353,New Heights Academy Charter School,89.10%,92.00%,97.40%,,,,,485,486
84M382,DREAM Charter School,,,,,,,,,
84M385,Success Academy Charter School - Harlem 3,,,,,,,,,
84M433,Renaissance Charter High School for Innovation,45.00%,73.50%,,,,,,402,416.2
84M478,Inwood Academy for Leadership Charter School,94.30%,96.70%,94.40%,,,,,467.3,474.8
84M481,Democracy Prep Harlem Charter School,50.00%,65.90%,87.10%,,,,,589.3,553.2
84M522,Broome Street Academy Charter School,60.50%,58.30%,76.20%,,,,,419.9,449.7
84M708,Harlem Prep Charter School,,,,,,,,,
84M709,Harlem Village Academy Charter School,93.80%,100.00%,97.80%,,,,,,
84M726,KIPP STAR College Prep Charter School,84.00%,100.00%,100.00%,,,,,,
84Q320,New Visions Charter High School for Advanced Math,,,,,,,,,
84Q373,New Visions Charter High School for the Humanities,,,,,,,,,
84Q705,Renaissance Charter School,,90.50%,100.00%,,,,,532,544.5
84R067,John W. Lavelle Preparatory Charter School,88.90%,100.00%,,,,,,480.7,488.3
84X185,Bronx Lighthouse Charter School,71.40%,90.90%,92.70%,,,,,521.3,522.6
84X202,New Visions Charter High School for Advanced Math,94.30%,96.00%,100.00%,,,,,453,459.4
84X208,New Visions Charter High School for the Humanities,64.20%,84.40%,96.20%,,,,,409.5,423.2
84X345,Hyde Leadership Charter School,69.40%,96.30%,100.00%,,,,,482.3,491.4
84X347,International Leadership Charter High School,81.80%,96.20%,96.80%,,,,,490.7,506.2
84X393,University Prep Charter High School,100.00%,100.00%,97.10%,,,,,472.4,475.5
84X395,"NYC Charter High School for Architecture, Engineer",90.30%,100.00%,100.00%,16,18.3,16.7,16.4,461.6,462.6
84X429,Charter High School for Law and Social Justice,,,,,,,,,
84X461,Metropolitan Lighthouse Charter School,,,,,,,,,
84X471,American Dream Charter School,,,,,,,,,
84X482,Dr. Richard Izquierdo Health and Science Charter S,84.70%,93.50%,100.00%,,,,,475.5,480.7
84X488,The Equality Charter School,65.00%,86.70%,100.00%,,,,,480.5,479.9
84X539,New Visions Charter High School for Advanced Math,69.80%,91.20%,97.40%,,,,,459.6,470.9
84X553,New Visions Charter High School for the Humanities,81.70%,96.20%,96.60%,,,,,418.6,439.1
84X581,South Bronx Community Charter School,,,,,,,,,
84X703,Bronx Preparatory Charter School,79.40%,91.00%,94.60%,18,17.6,17.3,17.7,479.4,490.9
84X704,KIPP Academy Charter School,85.70%,95.40%,96.70%,,,,,,
